Name,Description,Walking Minutes,link,Short list
Lambos Deli,Italian sandwich,2,https://food.google.com/chooseprovider?restaurantId=/g/11kl1njmp6&g2lbs=AOHF13kAOUwSSNm3k8FUbHeOGRAAXvl-qquDNZN-LIN5NjMbChONv21tCNYadGGAA4TXUKoB5VlQPuZDR9uJwOmFwOd_EspW6yQjdgpFV7Cxl7hAYnYsNpM%3D&hl=en-CA&gl=ca&fo_m=MfohQo559jFvMUOzJVpjPL1YMfZ3bInYwBDuMfaXTPp5KXh-&gei=lOREZu-RO7KnptQPh9S-oAM&ei=lOREZu-RO7KnptQPh9S-oAM&fo_s=OA&opi=79508299&foub=mcpp&sei=CeFhWXnXnU2GEY5zrbCNQuMy&utm_campaign&utm_source=tactile,No
Roti Mahal,,10,,No
Alpha shawarma,,,,No
La Rios,,2,,No
Fourth man in the fire,,,,No
Bitondos (calzone),,,,No
California sandwich,,,,No
Arya,,5,,No
Pg clucks,,10,,No
Cumbraes,,,,No
Migente Cocina,,5,https://www.instagram.com/migentecocinatoronto/?hl=en,Yes
Island Foods,,,,No
